quantity,price_paid_deal,price_paid_non_deal,coupon_value,promotion_type,total_spent,size1_descr,flavor_descr,formula_descr,household_id,household_size,household_income,age_of_female_head,age_of_male_head,age_and_presence_of_children,male_head_employment,female_head_employment,male_head_education,female_head_education,marital_status,male_head_occupation,female_head_occupation,household_composition,race,hispanic_origin,region,scantrack_market_identifier,projection_factor,fips_state_code,fips_county_code,census_tract_county_code,type_of_residence,kitchen_appliances,tv_items,female_head_birth,male_head_birth,household_internet_connection
2,6.82,0,1,2,37.22,16.0 MLOZ,CAKE BATTER,REGULAR,2001456,2,21,0,6,9,9,0,4,0,4,12,,3,1,2,2,16,7675,39,35,182103,5,1,2,,10/1/61,1
1,3.5,0,0,1,31.04,16.0 MLOZ,VAN CARAMEL FUDGE,REGULAR,2001456,2,21,0,6,9,9,0,4,0,4,12,,3,1,2,2,16,7675,39,35,182103,5,1,2,,10/1/61,1
1,3.5,0,0,1,15.5,16.0 MLOZ,VAN CARAMEL FUDGE,REGULAR,2001456,2,21,0,6,9,9,0,4,0,4,12,,3,1,2,2,16,7675,39,35,182103,5,1,2,,10/1/61,1
1,0,3,0,,112.99,16.0 MLOZ,W-N-C-P-C,REGULAR,2001637,1,27,9,0,9,0,9,0,3,2,12,12,5,1,2,4,,7533,30,13,400,1,4,3,10/1/36,,2
1,0,3.99,0,,67.35,16.0 MLOZ,AMERICONE DREAM,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,1386,13,59,130400,1,7,3,10/1/29,10/1/27,1
2,0,7.78,0,,131.71,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,1386,13,59,130400,1,7,3,10/1/29,10/1/27,1
2,0,7.78,0,,102.93,16.0 MLOZ,PUMPKIN CSK,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,1386,13,59,130400,1,7,3,10/1/29,10/1/27,1
1,2.14,0,0,1,27.28,16.0 MLOZ,CHC ALMOND NOUGAT,REGULAR,2001878,1,23,0,9,9,9,0,5,0,2,12,,7,1,2,1,,8095,23,1,10300,1,5,3,,1/1/32,1
1,3.5,0,0,1,10.65,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2002721,1,13,6,0,9,0,3,0,3,2,8,8,5,1,2,2,2,2019,17,43,844800,6,1,2,10/1/59,,2
1,3,0,1.25,2,64.67,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2002721,1,13,6,0,9,0,3,0,3,2,8,8,5,1,2,2,2,2019,17,43,844800,6,1,2,10/1/59,,2
