STATE,MCCAIN,OBAMA,INC,AGE,POPDENS,CHURCH
AL,1266546,813479,42666,37,87.6,58
AZ,1230111,1034707,50958,34.1,45.2,35
AR,638017,422310,38815,36.6,51.3,55
CA,5011781,8274473,61021,34.2,217.2,32
CO,1073589,1288576,56993,34.5,41.5,35
CT,629428,997772,68595,38.9,702.9,37
DE,152374,255459,57989,37.5,401.1,43
DC,17367,245800,57936,35.8,9776.4,33
FL,4045624,4282074,47778,39.3,296.4,39
GA,2048744,1844137,50861,34,141.4,52
ID,403012,236440,47576,34.3,15.6,43
IL,2031527,3419673,56235,35.4,223.4,42
IN,1345648,1374039,47966,35.7,169.5,46
IA,682379,828940,48980,38,52.4,46
KS,699655,514765,50177,36.1,32.9,47
KY,1048462,751985,41538,37.3,101.7,48
LA,1148275,782989,43733,35.2,102.6,58
ME,295273,421923,46581,40.7,41.3,31
MD,959862,1629467,70545,36.8,541.9,41
MA,1108854,1904097,65401,38.1,809.8,31
MI,2048639,2872579,48591,36.6,175,42
MN,1275409,1573354,57288,36.6,61.8,44
MS,724597,554662,37790,34.9,60.6,57
MO,1445814,1441911,46867,37.3,81.2,46
MT,242763,231667,43654,39.6,6.2,34
NE,452979,333319,49693,36,22.3,53
NV,412827,533736,56361,35.1,18.2,27
NH,316534,384826,63731,39.2,137.8,24
NJ,1613207,2215422,70378,37.8,1134.4,34
NM,346832,472422,43508,35.8,15,41
NY,2742298,4769700,56033,37.3,401.9,33
NC,2128474,2142651,46549,36,165.2,53
ND,168601,141278,45685,38.8,9.3,43
OH,2674491,2933388,47988,37.5,277.3,43
OK,960165,502496,42822,36.5,50.3,50
OR,738475,1037291,50169,37,35.6,32
PA,2655885,3276363,50713,39.3,274,43
RI,165391,296571,55701,38.1,1003.2,28
SC,1034896,862449,44625,36.9,133.2,58
SD,203054,170924,46032,37,9.9,45
TN,1479178,1087437,43614,37,138,52
TX,4479328,3528633,50043,32.9,79.6,49
UT,596030,327670,56633,28,27.2,55
VT,98974,219262,52104,40.4,65.8,24
VA,1725005,1959532,61233,36.9,178.8,44
WA,1229216,1750848,58078,36.4,88.6,32
WV,397466,303857,37989,40.3,75.1,46
WI,1262393,1677211,52094,37.5,98.8,43
WY,164958,82868,53207,38.4,5.1,36
