Female,SHGT,MHGT,FHGT
0,77,65,74
0,70,62,64
1,61,60,68
0,75,65,71
0,72,65,71
0,72,66,70
0,75,65,72
0,72,63,67
0,70,61,67
0,60,62,71
0,71,62,66
0,67,62,69
0,71,62,67
1,65,64,72
1,64,64,70
0,68,65,70
1,65,61,69
0,71,63,67
0,71,60,71
0,68,63,67
0,70,63,70
1,63,61,70
0,73,64,67
0,72,65,72
0,74,67,72
0,68,60,63
1,63,61,64
0,71,63,69
0,67,62,65
0,72,62,70
0,70,66,75
0,75,70,72
0,69,66,69
0,72,65,68
1,68,65,74
0,66,64,69
0,73,64,72
1,63,63,71
0,71,62,68
1,62,61,72
0,72,64,69
1,66,62,70
0,72,66,76
0,71,65,65
0,74,68,69
0,69,71,70
1,69,67,71
1,62,60,70
0,71,64,70
0,71,65,70
0,78,70,71
1,62,62,63
0,72,61,72
1,64,65,70
1,65,66,72
1,67,63,72
0,70,66,68
0,75,65,69
0,69,54,66
1,61,63,68
0,69,62,68
0,67,62,67
1,68,69,70
0,72,65,72
1,69,65,70
0,70,60,68
0,71,69,67
0,73,64,68
0,67,62,67
0,70,64,67
0,74,64,74
1,65,65,72
0,69,64,67
0,74,68,72
1,67,65,73
1,66,63,66
0,70,65,67
0,63,62,69
0,74,65,72
0,73,65,72
0,72,64,74
1,69,64,73
0,72,68,70
1,63,65,68
1,74,64,69
0,75,66,74
0,74,63,73
1,66,64,75
0,71,63,68
0,72,67,65
1,65,67,70
0,73,62,78
0,72,67,71
0,70,66,73
0,70.5,63,69
0,70,57,69
0,75,66,70
0,70,64,65
0,73,68,72
0,73,67,68
0,70,66,72
0,70.5,67,73
0,67,60,69
