minutevol,tropicprice,minuteprice,dmnckprice
636928,0.060482639,0.051276042,0.031914063
787456,0.060390625,0.048671875,0.040507813
1612800,0.060390625,0.045182292,0.035820313
347136,0.060390625,0.051276042,0.035820313
367616,0.060390625,0.051276042,0.035429688
492544,0.060390625,0.051276042,0.033867188
415744,0.055859375,0.051276042,0.034257813
1942527.999,0.055859375,0.043619792,0.034257813
486400,0.055859375,0.051276042,0.031523438
2137088,0.055859375,0.042057292,0.040507813
402432,0.05171875,0.049797262,0.029179688
419840,0.05796875,0.051276042,0.031914063
1884160,0.05796875,0.038932292,0.031914063
493568,0.05796875,0.048151042,0.029179688
1978368,0.060390625,0.042057292,0.026835938
774144,0.053515625,0.037890625,0.031523438
902144,0.051432292,0.047109375,0.038554688
1995776,0.056119792,0.04118442,0.036601563
1162240,0.048828125,0.041282307,0.026445313
1035264,0.039453125,0.037890625,0.036601563
604160,0.046744792,0.037890625,0.032695313
852992,0.056119792,0.037890625,0.032695313
607232,0.048307292,0.042578125,0.025273438
1010688,0.048307292,0.041015625,0.034648438
2043903.999,0.046744792,0.036328125,0.034648438
860160,0.046744792,0.041015625,0.025273438
774144,0.038151042,0.041015625,0.029179688
427008,0.056119792,0.041015625,0.034648438
942080,0.056119792,0.041015625,0.034648438
1916928,0.056119792,0.036328125,0.026054688
605184,0.056119792,0.042578125,0.026054688
1347584,0.054036458,0.041015625,0.034648438
4885504.001,0.054036458,0.033984375,0.034648438
1802240,0.039192708,0.033984375,0.029960938
742400,0.054036458,0.042578125,0.029960938
897024,0.041536458,0.036953125,0.027617188
875520,0.050390625,0.036171875,0.022929688
1028096,0.041536458,0.036171875,0.036210938
1418240,0.041536458,0.036171875,0.032695313
5263360.001,0.054036458,0.030703125,0.036210938
600064,0.043880208,0.039296875,0.036210938
579584,0.048828125,0.039296875,0.027617188
452608,0.048828125,0.039296875,0.027617188
506880,0.041536458,0.039296875,0.036210938
1176576,0.041536458,0.034609375,0.026835938
1299456,0.054036458,0.037369792,0.025273438
3070976.001,0.051432292,0.031901042,0.030742188
1228800,0.038932292,0.031901042,0.030742188
509952,0.035286458,0.039296875,0.024101563
396288,0.047786458,0.039296875,0.027226563
456704,0.043098958,0.039296875,0.022929688
495616,0.043098958,0.039296875,0.022929688
447488,0.050911458,0.039296875,0.023710938
412672,0.038411458,0.039296875,0.023710938
1471488,0.054036458,0.036171875,0.023710938
738304,0.046932695,0.035864223,0.02703125
840704,0.052839912,0.033440478,0.027617188
1260544,0.050520833,0.032161458,0.027382813
965632,0.049973958,0.034738422,0.026835938
9197568.002,0.04902581,0.031901042,0.026328125
692224,0.047890625,0.037369792,0.027226563
2121727.999,0.048641478,0.030338542,0.026796875
607232,0.050319614,0.037369792,0.028398438
859136,0.050911458,0.036089363,0.029296875
1093632,0.041536458,0.036171875,0.028398438
894976,0.0466094,0.035587713,0.027460938
808960,0.045703125,0.034820568,0.028632813
646144,0.047317708,0.037494025,0.0265625
786432,0.047403036,0.036570133,0.024257813
1775616,0.044661458,0.034765625,0.024882813
1230848,0.044348958,0.035112531,0.025820313
846848,0.043880208,0.036532845,0.029960938
977920,0.044949182,0.039453125,0.030429688
770048,0.045703125,0.039557292,0.027695313
576512,0.045703125,0.040226513,0.025507813
856064,0.047437321,0.036908471,0.025273438
692224,0.041536458,0.034765625,0.028632813
4956160.002,0.050911458,0.035130208,0.028125
1032192,0.041536458,0.038282243,0.028242188
593920,0.039973958,0.043824332,0.027070313
1406976,0.039973958,0.03926562,0.024101563
822272,0.040936383,0.039247484,0.025546875
607232,0.047935363,0.041473656,0.027304688
1068032,0.044292942,0.040324141,0.030351563
896000,0.04305514,0.041992517,0.023242188
583680,0.048735557,0.047265625,0.026289063
1769472,0.046811927,0.035390625,0.027304688
388096,0.038151042,0.047265625,0.031757813
580608,0.050911458,0.047265625,0.031679688
560128,0.050911458,0.047265625,0.031132813
1940480,0.050911458,0.035390625,0.028007813
475136,0.050911458,0.047648451,0.028515625
430080,0.045442708,0.048046875,0.02921875
499712,0.043273844,0.045931249,0.031523438
719872,0.041536458,0.044921875,0.031875
384000,0.048307292,0.043092179,0.025273438
1063936,0.045336599,0.041057867,0.028164063
416768,0.050911458,0.04269935,0.026523438
592896,0.050911458,0.045442708,0.030507813
1744895.999,0.045703125,0.043359375,0.028789063
465920,0.050364583,0.047745906,0.027070313
364544,0.049088542,0.046796875,0.030351563
3340288.001,0.050911458,0.040390625,0.030976563
1807359.999,0.047786458,0.040100343,0.026210938
1437696,0.047439861,0.038379147,0.024023438
980992,0.045442708,0.037545622,0.030351563
1868800,0.046649008,0.038932292,0.030351563
498688,0.050911458,0.043536451,0.028164063
661504,0.047786458,0.039036458,0.027226563
2812927.999,0.043984375,0.035564246,0.029804688
574464,0.05875,0.048411458,0.031132813
739328,0.05875,0.048411458,0.036992188
739328,0.05875,0.048411458,0.036992188
2464767.999,0.05875,0.045286458,0.038164063
1085440,0.05875,0.047265625,0.038164063
1862656,0.05875,0.043723958,0.035039063
631808,0.05875,0.048411458,0.035039063
3969023.999,0.05875,0.038411458,0.035039063
524288,0.05875,0.048411458,0.03484375
779264,0.05875,0.048411458,0.03328125
605184,0.055859375,0.048411458,0.033476563
2292736,0.055859375,0.042161458,0.033476563
616448,0.055859375,0.048411458,0.031523438
872448,0.05875,0.046744792,0.031523438
1362944,0.0556706,0.046744792,0.031523438
3318784.001,0.055434847,0.040598958,0.038164063
865280,0.051328125,0.046045268,0.028398438
1057792,0.056015625,0.048411458,0.031132813
2361343.999,0.056015625,0.038932292,0.031132813
781312,0.056015625,0.046744792,0.028398438
3806207.999,0.0571875,0.040598958,0.026054688
1228800,0.051953125,0.037890625,0.030742188
1390592,0.049869792,0.045703125,0.037773438
2811904.001,0.052994792,0.039973958,0.032695313
1302528,0.047265625,0.039973958,0.026445313
2020352,0.039453125,0.036640625,0.032695313
1127424,0.045182292,0.036640625,0.028789063
1367040,0.052994792,0.036640625,0.028789063
896000,0.046744792,0.0403125,0.024492188
1246208,0.046744792,0.04,0.030742188
3151872.001,0.045182292,0.036328125,0.030742188
760832,0.045182292,0.04,0.025273438
1010688,0.038151042,0.039505208,0.028398438
1010688,0.052994792,0.039505208,0.030742188
1047552,0.052994792,0.039505208,0.030742188
1924096,0.052994792,0.036328125,0.032304688
834560,0.052994792,0.0403125,0.025273438
1575936,0.051223958,0.04,0.030742188
5192703.999,0.051223958,0.033984375,0.030742188
1728512,0.037942708,0.033984375,0.029179688
916480,0.051223958,0.0403125,0.029179688
1041408,0.040286458,0.035859375,0.026835938
973824,0.048828125,0.035442708,0.022148438
1333248,0.040286458,0.035442708,0.031523438
1366016,0.040286458,0.035442708,0.028789063
6155263.999,0.051223958,0.029973958,0.031523438
926720,0.042630208,0.0371875,0.031523438
978944,0.047265625,0.0371875,0.026835938
797696,0.047265625,0.0371875,0.026835938
