APA,Stops,Race,Radar
2,11445,White,2531
3,11407,White,3404
4,13699,White,4698
5,10010,White,2539
6,12921,White,3708
7,16350,White,5852
8,3164,White,1981
11,6949,White,3701
12,2684,White,1543
13,13561,White,6897
14,9202,White,6432
15,7836,White,3605
16,9627,White,6282
19,22048,White,8969
20,7497,White,4740
21,17716,White,6683
22,6247,White,4529
23,9765,White,4279
24,9756,White,6646
25,14644,White,8228
26,14991,White,8672
27,6541,White,4775
28,12208,White,7203
30,9238,White,4917
31,8950,White,4731
32,7463,White,3263
33,24851,White,11312
34,15153,White,7681
35,16275,White,9726
36,22774,White,11437
37,12552,White,7268
38,4131,White,1785
39,8241,White,6290
40,5807,White,3776
2,1802,Black,321
3,1028,Black,286
4,722,Black,261
5,1597,Black,295
6,2482,Black,580
7,1205,Black,338
8,59,Black,32
11,219,Black,113
12,65,Black,42
13,404,Black,194
14,108,Black,75
15,32,Black,14
16,262,Black,178
19,516,Black,161
20,144,Black,90
21,698,Black,224
22,56,Black,35
23,344,Black,194
24,308,Black,226
25,90,Black,59
26,472,Black,272
27,31,Black,22
28,330,Black,205
30,262,Black,125
31,224,Black,136
32,398,Black,149
33,1359,Black,546
34,303,Black,153
35,228,Black,126
36,1373,Black,660
37,298,Black,230
38,73,Black,33
39,70,Black,53
40,30,Black,28
2,61,NativeAmerican,6
3,27,NativeAmerican,8
4,96,NativeAmerican,27
5,29,NativeAmerican,7
6,58,NativeAmerican,10
7,21,NativeAmerican,7
8,35,NativeAmerican,17
11,670,NativeAmerican,214
12,97,NativeAmerican,39
13,36,NativeAmerican,18
14,54,NativeAmerican,37
15,121,NativeAmerican,44
16,54,NativeAmerican,42
19,211,NativeAmerican,94
20,24,NativeAmerican,15
21,41,NativeAmerican,15
22,77,NativeAmerican,35
23,11,NativeAmerican,4
24,22,NativeAmerican,15
25,36,NativeAmerican,29
26,87,NativeAmerican,50
27,327,NativeAmerican,162
28,47,NativeAmerican,26
30,182,NativeAmerican,62
31,42,NativeAmerican,17
32,25,NativeAmerican,7
33,126,NativeAmerican,43
34,16,NativeAmerican,8
35,316,NativeAmerican,179
36,105,NativeAmerican,52
37,113,NativeAmerican,49
38,69,NativeAmerican,23
39,17,NativeAmerican,13
40,18,NativeAmerican,12
2,985,Asian,225
3,555,Asian,163
4,658,Asian,239
5,1494,Asian,411
6,1759,Asian,420
7,1884,Asian,630
8,91,Asian,70
11,161,Asian,101
12,54,Asian,33
13,276,Asian,139
14,87,Asian,68
15,24,Asian,14
16,273,Asian,193
19,258,Asian,94
20,200,Asian,121
21,657,Asian,263
22,63,Asian,45
23,344,Asian,199
24,445,Asian,343
25,200,Asian,138
26,525,Asian,343
27,39,Asian,33
28,315,Asian,214
30,821,Asian,620
31,470,Asian,362
32,254,Asian,102
33,2213,Asian,1208
34,437,Asian,221
35,369,Asian,264
36,1056,Asian,541
37,369,Asian,247
38,73,Asian,37
39,140,Asian,113
40,55,Asian,40
2,92,EastIndian,16
3,55,EastIndian,16
4,96,EastIndian,44
5,322,EastIndian,98
6,332,EastIndian,85
7,547,EastIndian,199
8,14,EastIndian,8
11,46,EastIndian,28
12,16,EastIndian,8
13,36,EastIndian,18
14,32,EastIndian,30
15,8,EastIndian,3
16,76,EastIndian,50
19,23,EastIndian,9
20,24,EastIndian,15
21,164,EastIndian,77
22,21,EastIndian,10
23,88,EastIndian,49
24,137,EastIndian,101
25,72,EastIndian,39
26,122,EastIndian,70
27,15,EastIndian,11
28,94,EastIndian,71
30,376,EastIndian,263
31,149,EastIndian,102
32,16,EastIndian,7
33,695,EastIndian,359
34,84,EastIndian,51
35,70,EastIndian,52
36,52,EastIndian,26
37,42,EastIndian,32
38,4,EastIndian,5
39,17,EastIndian,19
40,12,EastIndian,8
2,924,Hispanic,192
3,764,Hispanic,192
4,706,Hispanic,250
5,1099,Hispanic,262
6,1818,Hispanic,452
7,1775,Hispanic,607
8,126,Hispanic,72
11,3492,Hispanic,1480
12,2483,Hispanic,1119
13,4029,Hispanic,1995
14,1404,Hispanic,949
15,48,Hispanic,18
16,622,Hispanic,407
19,375,Hispanic,142
20,104,Hispanic,60
21,1171,Hispanic,441
22,548,Hispanic,371
23,511,Hispanic,224
24,742,Hispanic,460
25,3129,Hispanic,1381
26,1261,Hispanic,656
27,1021,Hispanic,587
28,2709,Hispanic,1199
30,467,Hispanic,238
31,834,Hispanic,300
32,313,Hispanic,109
33,2276,Hispanic,877
34,825,Hispanic,391
35,316,Hispanic,190
36,977,Hispanic,462
37,752,Hispanic,362
38,253,Hispanic,88
39,262,Hispanic,173
40,202,Hispanic,136
