bought,region,size,oldest,income,children,race,connection,hispanic
290.73,1,2,11,7,0,1,1,0
83.95,3,3,11,3,1,1,0,0
7.99,4,5,11,7,0,1,1,1
11.32,1,3,9,5,0,1,0,0
79.94,2,2,9,4,0,1,1,0
31.78,3,3,9,7,1,1,1,0
11.53,1,6,8,5,1,1,1,0
18.49,2,4,3,2,0,1,1,0
131.83,4,5,5,6,1,1,1,0
78.18,2,5,8,7,1,1,1,0
13.59,4,4,9,6,1,1,1,0
199.99,3,2,5,1,1,1,1,0
377.64,2,5,10,7,1,1,1,0
129.26,4,4,11,5,1,1,1,1
471.86,3,3,10,6,0,1,1,0
41.36,2,2,11,6,0,1,1,0
7.99,1,2,10,6,1,1,1,1
84.83,2,3,6,7,1,1,1,0
172.12,1,1,6,5,0,1,1,0
676.98,3,3,11,2,1,2,1,0
27.54,2,2,8,1,0,1,1,1
31.97,1,3,5,5,1,1,1,1
226.95,4,5,7,7,1,1,1,1
198.67,1,2,5,4,0,1,1,0
6.89,3,3,7,3,1,1,1,0
43.61,3,4,9,6,1,1,1,1
162.27,1,2,8,1,1,1,1,0
7.88,3,3,9,1,1,1,0,0
21.45,1,3,10,7,1,1,1,0
34.97,3,2,10,5,1,1,1,0
530.25,2,3,8,7,1,1,1,0
24.25,3,2,3,2,1,1,1,1
189.23,4,2,7,6,1,1,1,0
124.09,1,3,11,5,1,1,1,1
27.49,1,2,5,7,0,1,1,0
43.9,2,2,7,7,0,1,1,1
0.3,2,2,9,5,0,2,1,0
61.15,2,3,7,7,1,1,1,0
15.84,1,2,10,4,0,1,1,1
4.63,3,6,5,5,1,1,0,1
87.49,3,6,4,7,1,1,1,0
152.91,4,4,8,3,1,1,1,0
125.76,1,6,5,6,1,1,1,0
9.99,3,4,11,1,1,1,1,1
12.64,4,2,4,7,0,1,1,0
43.45,4,3,10,5,1,5,1,1
39.98,3,4,11,5,1,1,1,0
26.45,2,2,11,1,0,2,1,0
65.56,2,4,7,5,1,1,1,0
3,2,2,5,5,1,1,1,0
49.75,2,1,4,1,0,1,1,0
71.96,3,3,6,4,1,1,1,0
177.02,3,4,10,4,1,1,1,0
0.01,3,2,4,1,0,1,1,0
43.48,3,4,8,3,1,1,1,1
73.68,2,2,10,3,1,1,1,1
160.75,4,2,4,7,0,1,1,1
12.95,2,2,8,6,1,1,0,0
300.02,3,6,8,7,1,1,1,0
52.67,1,1,10,4,0,1,1,1
221.84,4,4,11,1,1,1,1,0
629.15,4,3,9,6,1,5,1,1
34.59,4,2,4,7,1,1,0,0
27.14,4,2,6,4,0,1,1,0
34.64,3,5,6,7,1,1,1,0
179.99,3,4,11,6,1,1,1,0
71.41,1,2,11,7,0,1,1,0
32.89,2,4,5,6,1,1,1,1
67.02,2,3,11,4,1,2,1,0
22.32,4,2,5,5,0,1,1,0
19,4,3,6,7,1,1,1,0
40.9,2,2,6,7,1,1,1,0
17.1,2,4,8,5,1,1,1,0
277.57,3,3,8,5,1,1,1,1
21.63,3,2,8,5,1,1,1,1
7.85,2,2,11,2,1,1,1,0
9.97,3,1,3,5,0,1,1,1
16.1,4,3,8,5,1,1,1,0
164.92,4,2,7,5,0,1,1,1
119.9,3,1,4,4,0,1,1,1
10.87,3,6,7,4,1,1,1,1
68.99,3,1,6,7,0,1,1,0
19.99,3,2,8,5,1,2,1,0
12,1,5,9,4,1,1,1,1
69.94,1,1,5,1,0,2,1,1
41,1,3,7,4,1,1,1,0
60.85,1,2,3,7,1,1,1,0
45,4,2,8,5,0,1,1,0
54,3,5,4,4,1,1,1,0
21.79,3,2,3,6,0,1,1,1
28.24,2,3,5,5,1,1,1,0
516.98,3,3,10,7,1,1,1,0
31.99,2,2,10,1,0,1,0,1
30.65,1,2,6,1,0,1,1,0
312.98,2,2,4,5,1,1,1,0
112.13,3,2,7,3,1,1,1,0
8.75,3,2,11,3,0,1,1,1
890.86,1,3,7,6,1,1,1,0
73.62,4,4,4,7,1,1,1,1
129.76,1,3,10,5,1,1,1,0
80.11,1,4,8,5,1,1,1,0
157.92,3,3,10,1,1,1,1,0
27.94,4,3,7,1,1,1,1,0
44.98,1,4,4,4,1,1,0,0
94.76,3,4,4,5,1,1,1,0
1700.05,4,1,6,7,0,1,1,0
200.03,1,1,7,5,0,1,1,0
361.81,1,5,11,7,1,1,1,0
66.93,3,4,6,3,1,1,1,1
30.33,3,2,7,3,0,1,1,0
228.37,1,3,11,6,1,1,1,1
26.96,3,2,11,7,1,1,1,1
37.48,4,2,11,3,1,3,1,0
8.99,2,3,9,7,1,1,1,1
24.51,3,2,5,5,0,2,1,0
196.34,3,5,4,5,1,1,1,0
131.96,3,2,7,1,0,2,1,1
33.5,2,3,8,7,1,1,1,1
30,3,2,5,5,0,1,1,0
404.99,2,2,3,5,0,1,1,0
45.74,1,3,9,5,1,1,1,0
547.94,1,4,11,1,1,5,1,1
38.35,4,2,11,1,0,1,1,0
156.86,3,2,6,3,1,1,1,0
56.98,1,4,9,5,1,1,1,0
9.3,4,2,9,2,0,1,1,1
39.13,3,2,11,3,0,1,1,0
35.76,3,3,11,2,1,1,1,0
99.96,1,5,3,1,1,1,1,0
34.93,3,4,7,7,1,1,1,0
21.41,3,3,3,1,1,1,1,0
0.99,3,4,3,5,1,1,1,0
240.33,3,6,9,2,1,1,1,0
25.49,3,2,10,6,1,1,1,1
115.45,3,2,8,2,1,1,1,0
70.18,1,2,6,5,0,1,0,0
26.72,3,3,7,5,1,1,1,0
23.62,4,2,10,6,1,1,1,0
21.2,1,4,5,7,1,1,1,0
427.6,4,4,4,5,1,1,1,0
52.91,3,2,2,2,0,1,1,0
27.99,4,2,7,5,1,1,1,0
1429.99,2,2,8,5,0,1,1,0
569.46,3,3,6,7,1,1,1,0
95.93,1,5,6,7,1,1,1,0
39.99,2,3,4,6,1,1,1,1
132.24,3,5,7,5,1,1,1,0
45.96,1,4,4,6,1,1,1,0
52.31,3,2,9,6,0,1,1,0
26.98,4,4,10,7,1,1,1,0
515.5,1,2,9,6,1,1,1,0
99.44,2,3,11,5,1,1,1,0
7.69,1,2,7,5,1,1,1,1
12.23,3,2,5,5,0,1,1,0
10.95,4,2,9,7,0,1,1,0
11.8,1,1,7,1,0,1,1,0
25.95,4,5,10,6,1,1,1,1
100.93,2,3,10,7,1,1,1,1
180.06,2,1,3,2,0,1,1,1
19.95,3,2,3,6,1,1,1,1
633.62,1,4,9,6,1,1,1,0
212.95,1,2,5,6,0,1,1,1
79.57,2,3,11,7,1,1,1,0
99,1,5,5,4,1,1,1,0
10.4,1,2,9,5,0,2,1,1
65.87,3,3,8,3,1,2,1,0
38.97,4,3,7,7,1,1,1,0
44.19,2,3,8,7,1,1,1,0
42.81,2,3,7,7,1,1,1,1
70.93,4,6,7,5,1,1,1,0
18.98,3,3,11,1,1,1,1,1
47.94,3,6,9,4,1,2,1,0
6.85,2,2,8,5,0,1,1,0
29.99,2,2,10,5,0,1,1,0
26.99,3,3,5,5,1,1,1,1
31.55,4,2,9,2,0,5,1,0
50.78,3,3,9,2,1,1,1,1
57.23,3,2,9,7,0,1,1,1
163.52,1,5,11,7,1,1,1,0
11.16,4,2,9,5,1,1,1,0
39.74,4,5,8,1,0,1,0,1
10.17,4,4,6,7,1,1,1,0
261.92,2,2,7,7,1,1,1,0
59.99,1,3,11,3,1,1,1,0
10.48,3,1,6,2,0,2,0,0
137.23,3,3,11,1,1,1,1,0
145.76,3,3,5,5,0,2,1,0
39.48,3,2,9,1,0,1,1,0
48.95,3,3,7,1,1,1,1,0
18.43,2,2,7,5,0,1,1,0
15.59,3,3,10,7,1,1,1,0
55.28,4,2,11,7,1,1,1,1
29.49,4,2,10,2,0,1,1,0
229.85,1,4,8,6,1,1,1,0
28.48,3,1,8,4,0,1,1,1
1036.27,3,4,4,2,1,2,1,1
11.96,3,3,8,5,1,2,1,1
34.9,4,3,9,6,1,1,1,0
172.54,1,4,10,6,0,1,1,0
34.99,2,2,10,5,1,1,1,0
124.91,2,2,3,5,0,1,1,0
72.34,4,3,6,7,1,1,1,0
14.49,2,3,2,5,1,1,1,0
25.68,4,3,6,7,1,1,1,0
86.89,1,2,11,5,0,1,1,0
1.73,3,2,8,1,0,1,1,0
289.92,3,3,5,7,1,1,1,0
114.39,2,2,4,2,0,1,1,0
24.19,4,5,5,5,1,1,0,0
14.75,3,4,8,5,1,1,1,0
138.54,3,2,7,2,1,1,1,0
31.19,3,3,5,2,1,1,1,0
78.98,3,4,6,7,1,1,1,0
284.07,3,4,5,5,0,1,1,1
54.99,3,5,7,1,0,1,1,1
67.95,4,2,5,5,0,1,1,0
97.95,3,3,7,5,1,1,1,0
69.98,2,3,11,6,1,1,1,1
46.2,4,2,7,4,1,1,1,0
125.41,4,1,2,6,0,5,1,0
63.57,2,1,6,6,0,1,1,1
59.12,2,6,8,2,1,1,1,0
34.19,3,4,4,4,1,1,1,0
0.99,1,4,8,5,1,1,1,0
219.45,4,6,9,2,1,3,1,0
93.79,4,2,5,7,0,3,1,1
25.98,3,3,11,2,1,1,1,0
23.09,3,3,11,4,1,1,1,0
80.45,2,4,5,7,1,1,1,0
381.9,3,5,3,3,1,1,1,0
1,4,4,5,7,1,1,1,0
19.2,4,3,9,7,1,1,1,0
280.97,3,2,8,5,1,1,1,0
630.8,1,2,8,6,1,1,1,1
34.99,3,3,11,2,1,1,1,0
29.94,1,4,8,5,1,1,1,1
44.49,4,2,3,5,0,1,1,1
180.35,2,4,8,6,1,1,1,1
10.99,3,3,9,1,1,1,1,0
176.12,1,5,4,5,1,1,1,0
37.46,1,3,10,1,1,1,1,0
84.96,1,2,11,3,0,2,1,0
39.98,2,4,8,5,1,1,1,0
36.04,1,2,4,2,1,1,1,0
43.17,4,2,7,6,0,1,1,1
316.83,3,2,5,7,0,1,1,0
131.38,3,3,5,7,1,1,1,1
259.89,4,3,8,3,0,1,1,0
155.14,4,5,9,3,0,1,1,1
4.33,3,2,3,5,1,1,1,1
18.99,3,5,10,5,1,1,1,0
141.82,3,4,9,3,1,2,1,0
60.65,4,2,11,1,0,1,1,0
29.67,3,5,8,2,1,1,1,1
31.72,1,6,8,5,1,1,1,0
244.73,4,5,4,1,1,1,1,0
32.47,3,2,5,5,0,1,1,0
20.99,4,4,9,2,1,1,1,0
45.65,2,2,7,2,0,1,0,1
60.73,2,2,8,5,0,1,1,0
7,3,2,11,2,0,1,1,0
143.3,4,2,7,5,1,1,1,0
68.98,1,2,6,7,1,1,1,0
39.53,3,3,5,6,1,1,1,0
7.99,3,3,6,4,1,2,1,0
36.81,2,1,11,4,0,1,1,0
16.47,2,2,8,7,0,1,1,1
43.89,2,2,10,1,1,2,1,1
19.18,3,2,9,3,1,1,1,0
61.25,4,2,10,7,1,1,1,0
410.49,3,2,9,7,0,1,1,0
19.95,3,1,7,3,0,2,1,1
129,2,5,9,7,1,1,1,0
42.98,3,5,8,2,1,2,1,1
24.75,3,3,9,5,1,1,1,0
578.61,3,4,5,7,1,1,1,0
13.72,3,2,7,3,0,1,1,1
