CR,POLICE,EDU,UE,INC,PMALE
79.1,58,9.1,41,3940,950
163.5,103,11.3,36,5570,1012
57.8,45,8.9,33,3180,969
196.9,149,12.1,39,6730,994
123.4,109,12.1,20,5780,985
68.2,118,11,29,6890,964
96.3,82,11.1,38,6200,982
155.5,115,10.9,35,4720,969
85.6,65,9,28,4210,955
70.5,71,11.8,24,5260,1029
167.4,121,10.5,35,6570,966
84.9,75,10.8,31,5800,972
51.1,67,11.3,25,5070,972
66.4,62,11.7,27,5290,986
79.8,57,8.7,43,4050,986
94.6,81,8.8,47,4270,956
53.9,66,11,35,4870,977
92.9,123,10.4,34,6310,978
75,128,11.6,34,6270,934
122.5,113,10.8,58,6260,985
74.2,74,10.8,33,5570,984
43.9,47,8.9,34,2880,962
121.6,87,9.6,32,5130,953
96.8,78,11.6,42,5400,1038
52.3,63,11.6,21,4860,984
199.3,160,12.1,41,6740,1071
34.2,69,10.9,22,5640,965
121.6,82,11.2,28,5370,1018
104.3,166,10.7,36,6370,938
69.6,58,8.9,26,3960,973
37.3,55,9.3,40,4530,1045
75.4,90,10.9,43,6170,964
107.2,63,10.4,24,4620,972
92.3,97,11.8,35,5890,990
65.3,97,10.2,50,5720,948
127.2,109,10,38,5590,964
83.1,58,8.7,28,3820,974
56.6,51,10.4,27,4250,1024
82.6,61,8.8,35,3950,953
115.1,82,10.4,31,4880,981
88,72,12.2,20,5900,998
54.2,56,10.9,37,4890,968
82.3,75,9.9,27,4960,996
103,95,12.1,37,6220,1012
45.5,46,8.8,53,4570,968
50.8,106,10.4,25,5930,989
84.9,90,12.1,40,5880,1049
