Rent,Bathrooms,YearBuilt,SqFt,AC,Parking,Rooms
1280,1,1985,8,1,1,3
695,1,1980,5.5,0,1,3
791,1,1980,6,1,1,3
1150,1,1980,8.6,1,0,4
700,1,1994,7,1,1,3
950,2,1985,9.8,1,1,4
800,1,1985,6,1,1,2
635,1,1980,6.5,0,1,3
700,1,1985,10,1,1,4
675,1,1985,9,1,1,4
725,2,1980,9.5,1,1,4
700,1,1985,3.5,1,1,4
250,1,1990,8,1,1,4
525,1,1985,6,0,1,4
1025,2,1985,8,1,1,5
1250,2,1985,9,1,1,5
550,1,1990,7.5,0,1,4
1300,2,1980,7,1,1,4
1150,2,1991,6,1,1,6
1200,2,1991,12,1,1,6
495,1,1950,10,1,1,3
700,2,1950,7,0,1,4
318,1,1960,5,0,1,3
316,1,1919,5,1,0,3
600,1,1920,7,1,0,6
415,1,1920,6,1,0,2
322,1,1930,1.5,1,0,1
555,1,1950,3,1,0,2
242,1,1930,9,0,1,3
450,1,1930,5,1,0,2
500,1,1940,7.4,1,0,3
825,1,1950,7.5,1,1,3
575,1,1930,0.99,1,0,4
375,1,1920,4,1,0,2
400,1,1940,12,1,1,4
450,1,1940,5,1,0,2
443,1,1920,5.5,1,1,2
475,1,1930,5.5,1,0,3
400,1,1930,4,1,0,2
660,1,1975,7.5,0,0,4
525,2,1930,10,1,1,5
550,1,1940,6.5,1,0,3
615,1,1950,9.9,0,1,4
587,1,1960,6.5,0,1,3
575,1,1975,6,0,1,3
460,1,1950,6,1,0,3
675,1,1940,8,1,0,4
485,1,1960,5,0,1,3
787,2,1940,11,0,1,4
695,1,1930,5,1,1,3
650,1,1960,4,0,1,3
450,1,1960,7,0,0,3
650,1,1960,6.5,1,1,3
800,2,1993,10,1,1,4
700,1,1940,8,0,1,4
625,2,1960,8,1,1,4
475,1,1970,3.1,0,0,2
975,1,1919,11,1,1,5
975,1,1919,11,1,1,5
940,1,1970,12,1,1,6
850,1,1940,4,1,1,3
1150,1,1980,8.6,1,1,4
460,1,1970,6.5,1,1,4
500,1,1920,5,1,1,4
725,1,1975,7.5,1,1,4
725,1,1975,7.5,1,1,4
650,2,1920,11,0,1,5
650,2,1920,11,0,1,5
400,1,1920,8.5,0,0,5
300,1,1919,3,1,0,3
420,1,1940,4,0,0,2
460,1,1920,4,1,0,1
615,1,1920,3,0,0,4
591,1,1970,7,0,0,3
650,1,1950,6.5,1,0,4
300,1,1919,1,0,1,4
394,1,1950,12,0,0,3
415,1,1950,6.5,1,0,3
1000,2,1950,15,0,1,5
490,1,1960,6,0,0,3
