date,sp500
20010228,-0.092291
20010330,-0.064205
20010430,0.076814
20010531,0.00509
20010629,-0.025004
20010731,-0.010772
20010831,-0.064108
20010928,-0.081723
20011031,0.018099
20011130,0.075176
20011231,0.007574
20020131,-0.015574
20020228,-0.020766
20020328,0.036739
20020430,-0.061418
20020531,-0.009081
20020628,-0.072465
20020731,-0.078995
20020830,0.004881
20020930,-0.110013
20021031,0.086436
20021129,0.05707
20021231,-0.060333
20030131,-0.027415
20030228,-0.017004
20030331,0.008358
20030430,0.081044
20030530,0.050899
20030630,0.011322
20030731,0.016224
20030829,0.017873
20030930,-0.011944
20031031,0.054962
20031128,0.007129
20031231,0.050765
20040130,0.017276
20040227,0.012209
20040331,-0.016359
20040430,-0.016791
20040528,0.012083
20040630,0.017989
20040730,-0.034291
20040831,0.002287
20040930,0.009364
20041029,0.014014
20041130,0.038595
20041231,0.032458
20050131,-0.02529
20050228,0.018903
20050331,-0.019118
20050429,-0.020109
20050531,0.029952
20050630,-0.000143
20050729,0.035968
20050831,-0.011222
20050930,0.006949
20051031,-0.017741
20051130,0.035186
20051230,-0.000952
20060131,0.025467
20060228,0.000453
20060331,0.011065
20060428,0.012187
20060531,-0.030917
20060630,8.7e-05
20060731,0.005086
20060831,0.021274
20060929,0.024566
20061031,0.031508
20061130,0.016467
20061229,0.012616
20070131,0.014059
20070228,-0.021846
20070330,0.00998
20070430,0.043291
20070531,0.032549
20070629,-0.017816
20070731,-0.031982
20070831,0.012864
20070928,0.035794
20071031,0.014822
20071130,-0.044043
20071231,-0.008628
20080131,-0.061163
20080229,-0.034761
20080331,-0.00596
20080430,0.047547
20080530,0.010674
20080630,-0.085962
20080731,-0.009859
20080829,0.012191
20080930,-0.090791
20081031,-0.169425
20081128,-0.074849
20081231,0.007822
20090130,-0.085657
20090227,-0.109931
20090331,0.085405
20090430,0.093925
20090529,0.053081
20090630,0.000196
20090731,0.074142
20090831,0.03356
20090930,0.035723
20091030,-0.019762
20091130,0.057364
20091231,0.017771
20100129,-0.036974
20100226,0.028514
20100331,0.058796
20100430,0.014759
20100528,-0.081976
20100630,-0.053882
20100730,0.068778
20100831,-0.047449
20100930,0.087551
20101029,0.036856
20101130,-0.00229
20101231,0.0653
